class combined
population/area	coverage	average_hit	pc90
World	625	0.0	8.32
World	626	0.0	8.32
World	627	0.0	8.32
World	628	0.0	8.32
World	629	0.0	8.32
World	630	0.0	8.32
World	631	0.0	8.32
World	632	0.0	8.32
World	633	0.0	8.32
World	634	0.0	8.32
World	635	0.0	8.32
World	636	0.0	8.32
World	637	0.0	8.32
World	638	0.0	8.32
World	639	0.0	8.32
World	640	0.0	8.32
World	641	0.0	8.32
World	642	0.0	8.32
World	643	0.0	8.32
World	644	0.0	8.32
World	645	0.0	8.32
World	646	0.38	8.32
World	647	0.0	7.94
World	648	0.0	7.94
World	649	0.0	7.94
World	650	0.0	7.94
World	651	0.0	7.94
World	652	0.0	7.94
World	653	0.0	7.94
World	654	0.0	7.94
World	655	0.0	7.94
World	656	0.0	7.94
World	657	0.0	7.94
World	658	0.0	7.94
World	659	1.79	7.94
World	660	0.0	6.15
World	661	0.0	6.15
World	662	0.0	6.15
World	663	0.0	6.15
World	664	0.0	6.15
World	665	0.0	6.15
World	666	0.0	6.15
World	667	0.0	6.15
World	668	0.0	6.15
World	669	0.0	6.15
World	670	0.0	6.15
World	671	0.0	6.15
World	672	0.22	6.15
World	673	0.0	5.93
World	674	0.0	5.93
World	675	0.0	5.93
World	676	0.0	5.93
World	677	0.0	5.93
World	678	0.0	5.93
World	679	0.0	5.93
World	680	0.0	5.93
World	681	0.0	5.93
World	682	0.0	5.93
World	683	0.0	5.93
World	684	0.0	5.93
World	685	0.0	5.93
World	686	0.0	5.93
World	687	0.0	5.93
World	688	0.0	5.93
World	689	0.0	5.93
World	690	0.0	5.93
World	691	0.0	5.93
World	692	0.0	5.93
World	693	0.0	5.93
World	694	0.0	5.93
World	695	0.0	5.93
World	696	0.0	5.93
World	697	0.0	5.93
World	698	0.0	5.93
World	699	0.0	5.93
World	700	0.0	5.93
World	701	0.0	5.93
World	702	0.0	5.93
World	703	0.1	5.93
World	704	0.0	5.83
World	705	0.0	5.83
World	706	0.0	5.83
World	707	0.0	5.83
World	708	0.0	5.83
World	709	0.39	5.83
World	710	0.0	5.44
World	711	0.0	5.44
World	712	0.0	5.44
World	713	0.0	5.44
World	714	0.0	5.44
World	715	0.0	5.44
World	716	0.0	5.44
World	717	0.0	5.44
World	718	0.0	5.44
World	719	0.0	5.44
World	720	0.0	5.44
World	721	0.0	5.44
World	722	0.0	5.44
World	723	0.0	5.44
World	724	0.0	5.44
World	725	0.0	5.44
World	726	0.0	5.44
World	727	0.0	5.44
World	728	0.0	5.44
World	729	0.43	5.44
World	730	0.0	5.01
World	731	0.0	5.01
World	732	0.0	5.01
World	733	0.0	5.01
World	734	0.0	5.01
World	735	0.0	5.01
World	736	0.0	5.01
World	737	0.0	5.01
World	738	0.0	5.01
World	739	0.0	5.01
World	740	0.0	5.01
World	741	0.0	5.01
World	742	1.85	5.01
World	743	0.0	3.16
World	744	0.0	3.16
World	745	0.0	3.16
World	746	0.0	3.16
World	747	0.0	3.16
World	748	0.0	3.16
World	749	0.0	3.16
World	750	0.0	3.16
World	751	0.0	3.16
World	752	0.0	3.16
World	753	0.0	3.16
World	754	0.0	3.16
World	755	0.0	3.16
World	756	0.0	3.16
World	757	0.0	3.16
World	758	0.0	3.16
World	759	0.0	3.16
World	760	0.0	3.16
World	761	0.0	3.16
World	762	0.0	3.16
World	763	0.0	3.16
World	764	0.0	3.16
World	765	1.11	3.16
World	766	0.0	2.05
World	767	0.0	2.05
World	768	0.0	2.05
World	769	0.0	2.05
World	770	0.0	2.05
World	771	0.0	2.05
World	772	0.0	2.05
World	773	0.0	2.05
World	774	0.0	2.05
World	775	0.0	2.05
World	776	0.0	2.05
World	777	0.0	2.05
World	778	0.0	2.05
World	779	0.0	2.05
World	780	0.0	2.05
World	781	0.0	2.05
World	782	0.0	2.05
World	783	0.0	2.05
World	784	0.0	2.05
World	785	0.0	2.05
World	786	0.0	2.05
World	787	0.0	2.05
World	788	0.0	2.05
World	789	0.0	2.05
World	790	0.0	2.05
World	791	0.0	2.05
World	792	0.0	2.05
World	793	0.0	2.05
World	794	0.0	2.05
World	795	0.0	2.05
World	796	0.0	2.05
World	797	0.0	2.05
World	798	0.0	2.05
World	799	0.0	2.05
World	800	0.0	2.05
World	801	0.0	2.05
World	802	0.0	2.05
World	803	0.0	2.05
World	804	0.0	2.05
World	805	0.0	2.05
World	806	0.0	2.05
World	807	0.0	2.05
World	808	0.0	2.05
World	809	0.0	2.05
World	810	0.0	2.05
World	811	0.0	2.05
World	812	0.0	2.05
World	813	0.0	2.05
World	814	0.0	2.05
World	815	0.0	2.05
World	816	0.0	2.05
World	817	0.0	2.05
World	818	0.0	2.05
World	819	0.0	2.05
World	820	0.0	2.05
World	821	0.0	2.05
World	822	0.29	2.05
World	823	0.0	1.76
World	824	0.0	1.76
World	825	0.0	1.76
World	826	0.0	1.76
World	827	0.0	1.76
World	828	1.14	1.76
World	829	0.0	0.62
World	830	0.0	0.62
World	831	0.0	0.62
World	832	0.0	0.62
World	833	0.0	0.62
World	834	0.0	0.62
World	835	0.0	0.62
World	836	0.0	0.62
World	837	0.0	0.62
World	838	0.0	0.62
World	839	0.0	0.62
World	840	0.0	0.62
World	841	0.0	0.62
World	842	0.0	0.62
World	843	0.0	0.62
World	844	0.0	0.62
World	845	0.0	0.62
World	846	0.0	0.62
World	847	0.0	0.62
World	848	0.0	0.62
World	849	0.0	0.62
World	850	0.0	0.62
World	851	0.0	0.62
World	852	0.0	0.62
World	853	0.0	0.62
World	854	0.0	0.62
World	855	0.0	0.62
World	856	0.0	0.62
World	857	0.0	0.62
World	858	0.0	0.62
World	859	0.0	0.62
World	860	0.0	0.62
World	861	0.0	0.62
World	862	0.0	0.62
World	863	0.0	0.62
World	864	0.0	0.62
World	865	0.0	0.62
World	866	0.0	0.62
World	867	0.0	0.62
World	868	0.0	0.62
World	869	0.0	0.62
World	870	0.0	0.62
World	871	0.0	0.62
World	872	0.0	0.62
World	873	0.0	0.62
World	874	0.0	0.62
World	875	0.0	0.62
World	876	0.0	0.62
World	877	0.0	0.62
World	878	0.0	0.62
World	879	0.0	0.62
World	880	0.0	0.62
World	881	0.0	0.62
World	882	0.0	0.62
World	883	0.0	0.62
World	884	0.0	0.62
World	885	0.0	0.62
World	886	0.0	0.62
World	887	0.0	0.62
World	888	0.0	0.62
World	889	0.0	0.62
World	890	0.0	0.62
World	891	0.0	0.62
World	892	0.0	0.62
World	893	0.0	0.62
World	894	0.0	0.62
World	895	0.0	0.62
World	896	0.0	0.62
World	897	0.0	0.62
World	898	0.0	0.62
World	899	0.0	0.62
World	900	0.0	0.62
World	901	0.0	0.62
World	902	0.0	0.62
World	903	0.0	0.62
World	904	0.0	0.62
World	905	0.0	0.62
World	906	0.0	0.62
World	907	0.0	0.62
